Dataset Size,Dataset Variation,Sorting Algorithm,Time Taken
1000,Many Duplicates,Bubble Sort,969800
1000,Many Duplicates,Heap Sort,105800
1000,Many Duplicates,Insertion Sort,215400
1000,Many Duplicates,Merge Sort,350500
1000,Many Duplicates,Quick Sort,677200
1000,Many Duplicates,Selection Sort,1.2377e+06
1000,Nearly Sorted,Bubble Sort,520400
1000,Nearly Sorted,Heap Sort,92700
1000,Nearly Sorted,Insertion Sort,59200
1000,Nearly Sorted,Merge Sort,281400
1000,Nearly Sorted,Quick Sort,436700
1000,Nearly Sorted,Selection Sort,656900
1000,Reversed,Bubble Sort,609700
1000,Reversed,Heap Sort,91000
1000,Reversed,Insertion Sort,289400
1000,Reversed,Merge Sort,254200
1000,Reversed,Quick Sort,482100
1000,Reversed,Selection Sort,746600
1000,Sorted,Bubble Sort,364300
1000,Sorted,Heap Sort,526900
1000,Sorted,Insertion Sort,900
1000,Sorted,Merge Sort,280400
1000,Sorted,Quick Sort,410200
1000,Sorted,Selection Sort,526900
1000,Unique Entries,Bubble Sort,686500
1000,Unique Entries,Heap Sort,106100
1000,Unique Entries,Insertion Sort,170400
1000,Unique Entries,Merge Sort,267700
1000,Unique Entries,Quick Sort,594300
1000,Unique Entries,Selection Sort,549600
1000,Random,Bubble Sort,938900
1000,Random,Heap Sort,116800
1000,Random,Insertion Sort,153800
1000,Random,Merge Sort,344200
1000,Random,Quick Sort,462300
1000,Random,Selection Sort,657100
2000,Many Duplicates,Bubble Sort,2.728e+06
2000,Many Duplicates,Heap Sort,242300
2000,Many Duplicates,Insertion Sort,553100
2000,Many Duplicates,Merge Sort,496000
2000,Many Duplicates,Quick Sort,2.7313e+06
2000,Many Duplicates,Selection Sort,2.5576e+06
2000,Nearly Sorted,Bubble Sort,1.9125e+06
2000,Nearly Sorted,Heap Sort,191600
2000,Nearly Sorted,Insertion Sort,357900
2000,Nearly Sorted,Merge Sort,641900
2000,Nearly Sorted,Quick Sort,2.4813e+06
2000,Nearly Sorted,Selection Sort,2.6604e+06
2000,Reversed,Bubble Sort,1.7427e+06
2000,Reversed,Heap Sort,166900
2000,Reversed,Insertion Sort,1.2597e+06
2000,Reversed,Merge Sort,578000
2000,Reversed,Quick Sort,1.4954e+06
2000,Reversed,Selection Sort,2.1645e+06
2000,Sorted,Bubble Sort,2.265e+06
2000,Sorted,Heap Sort,376700
2000,Sorted,Insertion Sort,1700
2000,Sorted,Merge Sort,546800
2000,Sorted,Quick Sort,1.6411e+06
2000,Sorted,Selection Sort,4.5476e+06
2000,Unique Entries,Bubble Sort,2.9035e+06
2000,Unique Entries,Heap Sort,247600
2000,Unique Entries,Insertion Sort,685300
2000,Unique Entries,Merge Sort,514800
2000,Unique Entries,Quick Sort,1.6354e+06
2000,Unique Entries,Selection Sort,2.0295e+06
2000,Random,Bubble Sort,3.402e+06
2000,Random,Heap Sort,459200
2000,Random,Insertion Sort,1.0245e+06
2000,Random,Merge Sort,470700
2000,Random,Quick Sort,1.5791e+06
2000,Random,Selection Sort,2.0414e+06
3000,Many Duplicates,Bubble Sort,7.9455e+06
3000,Many Duplicates,Heap Sort,371500
3000,Many Duplicates,Insertion Sort,2.2026e+06
3000,Many Duplicates,Merge Sort,1.1244e+06
3000,Many Duplicates,Quick Sort,3.5807e+06
3000,Many Duplicates,Selection Sort,4.3627e+06
3000,Nearly Sorted,Bubble Sort,4.8168e+06
3000,Nearly Sorted,Heap Sort,221000
3000,Nearly Sorted,Insertion Sort,369500
3000,Nearly Sorted,Merge Sort,678000
3000,Nearly Sorted,Quick Sort,3.1976e+06
3000,Nearly Sorted,Selection Sort,4.3806e+06
3000,Reversed,Bubble Sort,3.9609e+06
3000,Reversed,Heap Sort,226000
3000,Reversed,Insertion Sort,2.5097e+06
3000,Reversed,Merge Sort,832400
3000,Reversed,Quick Sort,3.6258e+06
3000,Reversed,Selection Sort,3.8241e+06
3000,Sorted,Bubble Sort,3.9218e+06
3000,Sorted,Heap Sort,249600
3000,Sorted,Insertion Sort,2300
3000,Sorted,Merge Sort,478200
3000,Sorted,Quick Sort,3.2189e+06
3000,Sorted,Selection Sort,4.402e+06
3000,Unique Entries,Bubble Sort,7.9755e+06
3000,Unique Entries,Heap Sort,277300
3000,Unique Entries,Insertion Sort,2.125e+06
3000,Unique Entries,Merge Sort,677500
3000,Unique Entries,Quick Sort,3.0883e+06
3000,Unique Entries,Selection Sort,5.1048e+06
3000,Random,Bubble Sort,6.4471e+06
3000,Random,Heap Sort,265700
3000,Random,Insertion Sort,1.4381e+06
3000,Random,Merge Sort,657400
3000,Random,Quick Sort,3.1911e+06
3000,Random,Selection Sort,7.2991e+06
4000,Many Duplicates,Bubble Sort,1.20257e+07
4000,Many Duplicates,Heap Sort,417000
4000,Many Duplicates,Insertion Sort,2.1624e+06
4000,Many Duplicates,Merge Sort,1.4355e+06
4000,Many Duplicates,Quick Sort,5.9366e+06
4000,Many Duplicates,Selection Sort,9.2476e+06
4000,Nearly Sorted,Bubble Sort,7.8586e+06
4000,Nearly Sorted,Heap Sort,296700
4000,Nearly Sorted,Insertion Sort,921700
4000,Nearly Sorted,Merge Sort,784200
4000,Nearly Sorted,Quick Sort,5.8773e+06
4000,Nearly Sorted,Selection Sort,6.8091e+06
4000,Reversed,Bubble Sort,5.5585e+06
4000,Reversed,Heap Sort,257300
4000,Reversed,Insertion Sort,4.7607e+06
4000,Reversed,Merge Sort,702200
4000,Reversed,Quick Sort,5.8815e+06
4000,Reversed,Selection Sort,8.0506e+06
4000,Sorted,Bubble Sort,5.1741e+06
4000,Sorted,Heap Sort,256500
4000,Sorted,Insertion Sort,3500
4000,Sorted,Merge Sort,707700
4000,Sorted,Quick Sort,6.5783e+06
4000,Sorted,Selection Sort,7.952e+06
4000,Unique Entries,Bubble Sort,1.25383e+07
4000,Unique Entries,Heap Sort,322300
4000,Unique Entries,Insertion Sort,2.2208e+06
4000,Unique Entries,Merge Sort,837600
4000,Unique Entries,Quick Sort,6.109e+06
4000,Unique Entries,Selection Sort,8.28e+06
4000,Random,Bubble Sort,1.13856e+07
4000,Random,Heap Sort,494900
4000,Random,Insertion Sort,2.6854e+06
4000,Random,Merge Sort,851100
4000,Random,Quick Sort,6.0169e+06
4000,Random,Selection Sort,9.416e+06
5000,Many Duplicates,Bubble Sort,1.98896e+07
5000,Many Duplicates,Heap Sort,390200
5000,Many Duplicates,Insertion Sort,3.4385e+06
5000,Many Duplicates,Merge Sort,1.1215e+06
5000,Many Duplicates,Quick Sort,9.4927e+06
5000,Many Duplicates,Selection Sort,1.20824e+07
5000,Nearly Sorted,Bubble Sort,1.25123e+07
5000,Nearly Sorted,Heap Sort,346700
5000,Nearly Sorted,Insertion Sort,894600
5000,Nearly Sorted,Merge Sort,891000
