Dataset Size,Dataset Variation,Sorting Algorithm,Time Taken
1000,Many Duplicates,Bubble Sort,3.2511e+06
1000,Many Duplicates,Heap Sort,311000
1000,Many Duplicates,Insertion Sort,7800
1000,Many Duplicates,Merge Sort,1.6391e+06
1000,Many Duplicates,Quick Sort,9.3298e+06
1000,Many Duplicates,Selection Sort,2.1989e+06
1000,Nearly Sorted,Bubble Sort,2.2977e+06
1000,Nearly Sorted,Heap Sort,271500
1000,Nearly Sorted,Insertion Sort,8600
1000,Nearly Sorted,Merge Sort,2.1775e+06
1000,Nearly Sorted,Quick Sort,1.89339e+07
1000,Nearly Sorted,Selection Sort,2.0443e+06
1000,Reversed,Bubble Sort,5.5388e+06
1000,Reversed,Heap Sort,371500
1000,Reversed,Insertion Sort,8200
1000,Reversed,Merge Sort,2.1601e+06
1000,Reversed,Quick Sort,1.39262e+07
1000,Reversed,Selection Sort,2.4535e+06
1000,Sorted,Bubble Sort,4.5197e+06
1000,Sorted,Heap Sort,784800
1000,Sorted,Insertion Sort,8500
1000,Sorted,Merge Sort,2.2585e+06
1000,Sorted,Quick Sort,9.3875e+06
1000,Sorted,Selection Sort,1.6897e+06
1000,Unique Entries,Bubble Sort,3.6391e+06
1000,Unique Entries,Heap Sort,847800
1000,Unique Entries,Insertion Sort,8500
1000,Unique Entries,Merge Sort,1.2885e+06
1000,Unique Entries,Quick Sort,8.8672e+06
1000,Unique Entries,Selection Sort,2.0111e+06
1000,Random,Bubble Sort,3.292e+06
1000,Random,Heap Sort,582500
1000,Random,Insertion Sort,8900
1000,Random,Merge Sort,2.2903e+06
1000,Random,Quick Sort,1.59046e+07
1000,Random,Selection Sort,2.1453e+06
2000,Many Duplicates,Bubble Sort,2.31432e+07
2000,Many Duplicates,Heap Sort,1.1305e+06
2000,Many Duplicates,Insertion Sort,14400
2000,Many Duplicates,Merge Sort,3.5586e+06
2000,Many Duplicates,Quick Sort,4.75198e+07
2000,Many Duplicates,Selection Sort,1.12402e+07
2000,Nearly Sorted,Bubble Sort,1.54741e+07
2000,Nearly Sorted,Heap Sort,960900
2000,Nearly Sorted,Insertion Sort,14500
2000,Nearly Sorted,Merge Sort,4.3943e+06
2000,Nearly Sorted,Quick Sort,4.49724e+07
2000,Nearly Sorted,Selection Sort,9.638e+06
2000,Reversed,Bubble Sort,1.59276e+07
2000,Reversed,Heap Sort,840700
2000,Reversed,Insertion Sort,13600
2000,Reversed,Merge Sort,4.5268e+06
2000,Reversed,Quick Sort,3.70763e+07
2000,Reversed,Selection Sort,8.7674e+06
2000,Sorted,Bubble Sort,8.344e+06
2000,Sorted,Heap Sort,741900
2000,Sorted,Insertion Sort,13200
2000,Sorted,Merge Sort,2.4952e+06
2000,Sorted,Quick Sort,2.60669e+07
2000,Sorted,Selection Sort,2.56957e+07
2000,Unique Entries,Bubble Sort,7.38982e+07
2000,Unique Entries,Heap Sort,640400
2000,Unique Entries,Insertion Sort,14100
2000,Unique Entries,Merge Sort,3.2426e+06
2000,Unique Entries,Quick Sort,3.70833e+07
2000,Unique Entries,Selection Sort,7.5497e+06
2000,Random,Bubble Sort,1.4543e+07
2000,Random,Heap Sort,642000
2000,Random,Insertion Sort,14100
2000,Random,Merge Sort,2.5935e+06
2000,Random,Quick Sort,3.28386e+07
2000,Random,Selection Sort,6.6239e+06
3000,Many Duplicates,Bubble Sort,3.34045e+07
3000,Many Duplicates,Heap Sort,1.0281e+06
3000,Many Duplicates,Insertion Sort,20200
3000,Many Duplicates,Merge Sort,4.0337e+06
3000,Many Duplicates,Quick Sort,7.61593e+07
3000,Many Duplicates,Selection Sort,1.52767e+07
3000,Nearly Sorted,Bubble Sort,2.29114e+07
3000,Nearly Sorted,Heap Sort,1.1857e+06
3000,Nearly Sorted,Insertion Sort,19000
3000,Nearly Sorted,Merge Sort,4.3948e+06
3000,Nearly Sorted,Quick Sort,7.24035e+07
3000,Nearly Sorted,Selection Sort,1.62725e+07
3000,Reversed,Bubble Sort,3.53069e+07
3000,Reversed,Heap Sort,1.144e+06
3000,Reversed,Insertion Sort,37800
3000,Reversed,Merge Sort,3.4282e+06
3000,Reversed,Quick Sort,6.95173e+07
3000,Reversed,Selection Sort,1.3574e+07
3000,Sorted,Bubble Sort,1.58036e+07
3000,Sorted,Heap Sort,1.0694e+06
3000,Sorted,Insertion Sort,19400
3000,Sorted,Merge Sort,4.7833e+06
3000,Sorted,Quick Sort,6.97357e+07
3000,Sorted,Selection Sort,1.46503e+07
3000,Unique Entries,Bubble Sort,3.73084e+07
3000,Unique Entries,Heap Sort,1.0392e+06
3000,Unique Entries,Insertion Sort,20500
3000,Unique Entries,Merge Sort,4.3341e+06
3000,Unique Entries,Quick Sort,6.2463e+07
3000,Unique Entries,Selection Sort,1.45333e+07
3000,Random,Bubble Sort,3.17229e+07
3000,Random,Heap Sort,1.009e+06
3000,Random,Insertion Sort,18400
3000,Random,Merge Sort,2.8394e+06
3000,Random,Quick Sort,5.77376e+07
3000,Random,Selection Sort,1.49874e+07
4000,Many Duplicates,Bubble Sort,4.82081e+07
4000,Many Duplicates,Heap Sort,979700
4000,Many Duplicates,Insertion Sort,25200
4000,Many Duplicates,Merge Sort,4.8078e+06
4000,Many Duplicates,Quick Sort,1.07395e+08
4000,Many Duplicates,Selection Sort,2.38343e+07
4000,Nearly Sorted,Bubble Sort,2.98959e+07
4000,Nearly Sorted,Heap Sort,1.0735e+06
4000,Nearly Sorted,Insertion Sort,24100
4000,Nearly Sorted,Merge Sort,2.9568e+06
4000,Nearly Sorted,Quick Sort,7.79561e+07
4000,Nearly Sorted,Selection Sort,2.73109e+07
4000,Reversed,Bubble Sort,3.76338e+07
4000,Reversed,Heap Sort,1.0729e+06
4000,Reversed,Insertion Sort,24200
4000,Reversed,Merge Sort,3.1805e+06
4000,Reversed,Quick Sort,7.24796e+07
4000,Reversed,Selection Sort,2.16084e+07
